"stationname (Group by 1)","daytype","rides","date"
,100000,254315980,100000
"Lake/State",745,8410651,745
"Clark/Lake",724,7610009,724
"Chicago/State",712,6877957,712
"Fullerton",734,5656230,734
"95th/Dan Ryan",699,5428804,699
"O'Hare Airport",722,5309782,722
"Belmont-North Main",686,5260206,686
"Roosevelt",705,4817710,705
"Grand/State",686,4760163,686
"Washington/Dearborn",724,4739345,724
"State/Lake",704,4400395,704
"Jackson/State",667,4110664,667
"Midway Airport",707,3834789,707
"Monroe/State",689,3777559,689
"Addison-North Main",734,3738700,734
"Clark/Division",732,3682361,732
"79th",710,3527822,710
"Adams/Wabash",702,3167325,702
"Jackson/Dearborn",681,2958205,681
"Quincy/Wells",681,2909791,681
"Howard",703,2860852,703
"Jefferson Park",680,2839884,680
"Wilson",713,2833069,713
"Washington/Wells",712,2809062,712
"69th",728,2772903,728
"Logan Square",688,2701866,688
"Monroe/Dearborn",708,2695190,708
"Loyola",715,2527112,715
"Merchandise Mart",675,2523233,675
"Rosemont",684,2485163,684
"Chicago/Franklin",691,2429164,691
"Damen/Milwaukee",689,2396590,689
"Division/Milwaukee",703,2331552,703
"UIC-Halsted",705,2325251,705
"Diversey",734,2293996,734
"Belmont-O'Hare",727,2289433,727
"North/Clybourn",670,2281853,670
"87th",727,2246219,727
"Bryn Mawr",722,2198207,722
"Sheridan",687,2193986,687
"Randolph/Wabash",386,2186168,386
"Pulaski-Orange",682,2160806,682
"Morse",699,2060666,699
"Western/Milwaukee",691,2048467,691
"California/Milwaukee",726,2011649,726
"Cumberland",691,2006977,691
"Sox-35th-Dan Ryan",686,1904158,686
"Western-Brown",742,1862070,742
"Irving Park-O'Hare",691,1838009,691
"Harrison",747,1817068,747
"Cermak-Chinatown",667,1780346,667
"Granville",713,1768339,713
"Kimball",693,1754329,693
"Washington/Wabash",370,1710827,370
"Garfield-Dan Ryan",693,1704506,693
"Davis",695,1695672,695
"Chicago/Milwaukee",742,1687059,742
"Harlem-Lake",699,1680530,699
"Armitage",686,1657089,686
"Forest Park",702,1638853,702
"Clinton-Lake",708,1632582,708
"Sedgwick",735,1610186,735
"Berwyn",708,1596433,708
"Western-Orange",698,1592459,698
"Library",707,1564093,707
"47th-Dan Ryan",742,1546217,742
"63rd-Dan Ryan",675,1527885,675
"Kedzie-Midway",727,1493895,727
"Lawrence",703,1472761,703
"Thorndale",735,1408992,735
"Madison/Wabash",374,1367479,374
"Southport",693,1307650,693
"Argyle",678,1305173,678
"Harlem-O'Hare",719,1296768,719
"Irving Park-Brown",768,1290337,768
"Clinton-Forest Park",667,1279905,667
"Addison-O'Hare",730,1272826,730
"Medical Center",718,1259695,718
"35th/Archer",682,1194791,682
"Polk",661,1170972,661
"Montrose-Brown",728,1146115,728
"Wellington",717,1135337,717
"LaSalle",696,1131302,696
"Paulina",700,1093991,700
"LaSalle/Van Buren",652,1070627,652
"Halsted-Orange",673,1060527,673
"Racine",738,995261,738
"Central-Lake",670,994039,670
"Ashland-Lake",678,974531,678
"Addison-Brown",708,962184,708
"Kedzie-Homan-Forest Park",708,955921,708
"Damen-Brown",658,918176,658
"Montrose-O'Hare",679,913225,679
"Pulaski-Forest Park",702,891851,702
"35-Bronzeville-IIT",695,881740,695
"Grand/Milwaukee",674,878173,674
"Austin-Lake",694,876203,694
"Washington/State",181,867253,181
"Kedzie-Brown",708,858920,708
"54th/Cermak",675,853976,675
"Morgan-Lake",484,847782,484
"Pulaski-Lake",720,808250,720
"Austin-Forest Park",659,789387,659
"Ashland-Orange",720,738329,720
"Jarvis",711,737772,711
"Rockwell",717,713331,717
"Cicero-Lake",742,707659,742
"Oak Park-Lake",717,697489,717
"18th",659,680709,659
"Oak Park-Forest Park",684,680499,684
"Ashland/63rd",707,674690,707
"Western-Forest Park",683,666252,683
"Kedzie-Lake",681,638204,681
"Garfield-South Elevated",655,611024,655
"47th-South Elevated",717,593236,717
"Cicero-Forest Park",661,587232,661
"Laramie",671,585635,671
"Damen-Cermak",699,578533,699
"East 63rd-Cottage Grove",696,578351,696
"Francisco",675,555565,675
"California-Cermak",679,548501,679
"Main",703,544456,703
"Ridgeland",672,538857,672
"California-Lake",742,520496,742
"Cicero-Cermak",675,519686,675
"Harlem-Forest Park",718,493452,718
"Western-Cermak",707,478692,707
"51st",679,474702,679
"Central Park",702,473709,702
"Conservatory",739,462180,739
"Pulaski-Cermak",675,458560,675
"Skokie",245,453597,245
"Dempster-Skokie",461,448985,461
"43rd",666,428314,666
"Linden",682,427352,682
"Kedzie-Cermak",703,401977,703
"Dempster",722,395619,722
"Central-Evanston",676,367958,676
"Cermak-McCormick Place",418,361799,418
"Noyes",724,355386,724
"South Boulevard",680,340094,680
"Halsted/63rd",684,338153,684
"Foster",685,335531,685
"Indiana",663,325695,663
"King Drive",705,287531,705
"Oakton-Skokie",485,239810,485
"Kostner",683,187867,683
"Homan",1,0,1
