"name","country","subcountry","geonameid"
"'Ali Sabieh","Djibouti","Ali Sabieh","225284"
"'s-Gravenzande","Netherlands","South Holland","2747364"
"'s-Hertogenbosch","Netherlands","North Brabant","2747351"
"‘Abasān al Kabīrah","Palestinian Territory","Gaza Strip","281165"
"‘Afak","Iraq","Al Qādisīyah","99738"
"‘Afīf","Saudi Arabia","Ar Riyāḑ","110250"
"‘Afrīn","Syria","Aleppo","174186"
"‘Afula ‘Illit","Israel","Northern District","295739"
"‘Aïn el Hadjel","Algeria","Mʼsila","2508157"
"‘Ajab Shīr","Iran","East Azerbaijan","144443"
"‘Ajlūn","Jordan","Ajlun","250799"
"‘Akko","Israel","Northern District","295721"
"‘Alī al Gharbī","Iraq","Maysan","99306"
"‘Amrān","Yemen","Omran","78428"
"‘Anat al Qadīmah","Iraq","Anbar","98885"
"‘Anjarah","Jordan","Ajlun","250420"
"‘Aqrah","Iraq","Nīnawá","98822"
"‘Ar‘ar","Saudi Arabia","Northern Borders","108512"
"‘Arad","Israel","Southern District","295657"
"‘Ayn al ‘Arab","Syria","Aleppo","172256"
"‘Ewa Gentry","United States","Hawaii","5855070"
"‘Ibrī","Oman","Az̧ Z̧āhirah","287830"
"‘Irbīn","Syria","Rif-dimashq","169372"
"‘Izbat al Burj","Egypt","Muḩāfaz̧at ad Daqahlīyah","355392"
"‘Izrā","Jordan","Karak","248923"
"’Aïn Abid","Algeria","Constantine","2508309"
"’Aïn Benian","Algeria","Tipaza","2508275"
"’Aïn Deheb","Algeria","Tiaret","2508225"
"’Aïn el Bell","Algeria","Djelfa","2508184"
"’Aïn el Berd","Algeria","Sidi Bel Abbès","2508180"
"’Aïn el Hammam","Algeria","Tizi Ouzou","2508152"
"’Aïn el Melh","Algeria","Mʼsila","2508130"
"’Aïn el Turk","Algeria","Oran","2508119"
"’Aïn Merane","Algeria","Relizane","2508010"
"A Coruña","Spain","Galicia","3119841"
"A Estrada","Spain","Galicia","3119746"
"Aabenraa","Denmark","South Denmark","2625070"
"Aachen","Germany","North Rhine-Westphalia","3247449"
"Aalborg","Denmark","North Denmark","2624886"
"Aalen","Germany","Baden-Württemberg","2959927"
"Aalsmeer","Netherlands","North Holland","2760134"
"Aalst","Belgium","Flanders","2803448"
"Aalten","Netherlands","Gelderland","2760123"
"Aalter","Belgium","Flanders","2803443"
"Aarau","Switzerland","Aargau","2661881"
"Aarschot","Belgium","Flanders","2803429"
"Aba","Nigeria","Abia","2353151"
"Abadan","Iran","Khuzestan","145459"
"Abadan","Turkmenistan","Ahal","162099"
"Ābādeh","Iran","Fars","145449"
"Abaeté","Brazil","Minas Gerais","3473267"
"Abaetetuba","Brazil","Pará","3408424"
"Abakaliki","Nigeria","Ebonyi","2353099"
"Abakan","Russia","Khakasiya","1512236"
"Abancay","Peru","Apurímac","3948642"
"Abano Terme","Italy","Veneto","3183587"
"Abashiri","Japan","Hokkaido","2130741"
"Abasolo","Mexico","Guanajuato","4019869"
"Abay","Kazakhstan","Qaraghandy","1526970"
"Abaza","Russia","Khakasiya","1512205"
"Abbeville","France","Nord-Pas-de-Calais-Picardie","3038789"
"Abbiategrasso","Italy","Lombardy","3183573"
"Abbotsford","Canada","British Columbia","5881791"
"Abbottābād","Pakistan","Khyber Pakhtunkhwa","1185056"
"Ābdānān","Iran","Īlām","145233"
"Abdulino","Russia","Orenburg","584471"
"Abéché","Chad","Ouaddaï","245785"
"Abengourou","Ivory Coast","Moyen-Comoé","2293549"
"Abeokuta","Nigeria","Ogun","2352947"
"Abepura","Indonesia","Papua","2082727"
"Aberdare","United Kingdom","Wales","2657835"
"Aberdeen","United Kingdom","Scotland","2657832"
"Aberdeen","United States","South Dakota","5225857"
"Aberdeen","United States","Washington","5785243"
"Abergele","United Kingdom","Wales","2657812"
"Aberystwyth","United Kingdom","Wales","2657782"
"Abha","Saudi Arabia","Minţaqat ‘Asīr","110690"
"Abhar","Iran","Zanjan","145034"
"Abhayāpuri","India","Assam","1279407"
"Abidjan","Ivory Coast","Lagunes","2293538"
"Ábidos","Brazil","Pará","3393768"
"Abiko","Japan","Chiba","2113164"
"Abilene","United States","Texas","4669635"
"Abingdon","United Kingdom","England","2657780"
"Abington","United States","Massachusetts","4928662"
"Abinsk","Russia","Krasnodarskiy","584441"
"Abnūb","Egypt","Asyūţ","362973"
"Abobo","Ivory Coast","Lagunes","2293521"
"Abohar","India","Punjab","1279403"
"Aboisso","Ivory Coast","Sud-Comoé","2293507"
"Abomey","Benin","Zou","2395915"
"Abomey-Calavi","Benin","Atlantique","2395914"
"Abomsa","Ethiopia","Amhara","345704"
"Abony","Hungary","Pest","723030"
"Abou el Hassan","Algeria","Chlef","2509031"
"Abovyan","Armenia","Kotayk Province","617026"
"Abqaiq","Saudi Arabia","Eastern Province","107312"
"Abreu e Lima","Brazil","Pernambuco","3408404"
"Abreus","Cuba","Cienfuegos","3569741"
"Ābu","India","Rajasthan","1279396"
"Abū ‘Arīsh","Saudi Arabia","Jizan","110619"
"Abū al Maţāmīr","Egypt","Al Buḩayrah","362882"
"Abu Dhabi","United Arab Emirates","Abu Dhabi","292968"
"Abū Ghurayb","Iraq","Mayorality of Baghdad","100077"
"Abu Jibeha","Sudan","Southern Kordofan","380757"
"Abū Kabīr","Egypt","Eastern Province","362485"
"Abū Qurqāş","Egypt","Al Minyā","362277"
"Ābu Road","India","Rajasthan","1279394"
"Abū Tīj","Egypt","Asyūţ","362004"
"Abū Zabad","Sudan","West Kordofan State","380348"
"Abucay","Philippines","Central Luzon","1732354"
